lineID,FinalLeafAge,MaxNumberOfTillers,DeltaLL,HeadingDate,Biomass,LeafAge_0519,LeafAge_0602,LeafAge_0609,LeafAge_0616,LeafAge_0623,LeafAge_0630,LeafAge_0707,LeafAge_0714,LeafAge_0722,LeafAge_0728,LeafAge_0804,NumberOfTillers_0609,NumberOfTillers_0616,NumberOfTillers_0623
L001,15,33.625,4.385,98.5,74.13333333,5.33,7.7,9.275,10.5,11.575,12.4,13.175,13.9,14.675,15,NA,14.625,24.5,33.625
L002,17,33,3.5925,108,65.7,5.67,8.35,9.8,11.05,12.225,13.025,13.75,14.425,15.375,16.225,17,17,28.25,33
L003,16.5,25.5,3.89,119,82.71666667,5.53,8.35,9.7,10.975,11.875,12.7,13.375,14.1,14.625,15.325,NA,14.25,21,25.5
L004,15.75,27.25,4.3925,93,61.25833333,5.27,7.725,9.275,10.625,11.725,12.575,13.375,14.325,15.45,16,NA,12.5,21.375,27.25
L005,15.25,30.625,4.6075,91,67.575,5.33,7.85,9.45,10.625,11.75,12.6,13.475,14.55,15,NA,NA,13.25,22.5,30.625
L006,15.75,32.75,3.695,103,67.90833333,5.27,7.9,9.425,10.575,11.7,12.475,13.075,13.675,14.525,15.325,16,17.375,25.25,32.75
L007,16.5,40.125,3.715,111.5,92.8,5.03,7.725,9.25,10.6,11.7,12.55,13.275,14.05,14.75,15.425,NA,17.75,28.375,40.125
L008,18.25,35.25,3.01,117.5,69.625,5.73,8.5,10.125,11.5,12.65,13.7,14.475,15.15,15.95,16.6,NA,18.875,27.625,35.25
L009,16,29.125,4.4325,105.5,76.6,5.37,8.35,9.7,11.025,12,12.825,13.575,14.3,14.975,15.575,16,15.125,22.5,29.125
L010,16,29.25,4.475,101.5,71.79166667,5.43,8.375,9.7,11.025,12.175,12.95,13.575,14.425,15.325,15.675,16,15.375,24.25,29.25
L011,15.5,35.875,4.285,91.5,69.2,5.4,8.35,9.7,10.95,12.15,12.975,13.6,14.675,15.5,NA,NA,19,29.5,35.875
L012,15.75,33.5,4.375,102.5,72.01666667,5.33,8.125,9.5,10.825,11.8,12.625,13.25,14,14.75,15.525,15.75,15.5,24.25,33.5
L013,15,31.25,4.1475,92.5,59.25,5.43,7.775,9.275,10.425,11.525,12.275,13,14.175,15,NA,NA,15.625,24,31.25
L014,14.75,27,4.525,96,65.04166667,5,7.725,9.2,10.425,11.425,12.175,12.9,13.675,14.675,15,NA,15.25,21.875,27
L015,16,39.625,3.7425,97,76.55833333,5.8,8.5,9.9,11.275,12.3,13.15,13.875,14.85,15.9,16,NA,18.25,29.875,39.625
L016,16,31.75,3.335,105.5,76.925,5.13,7.85,9.35,10.7,11.925,12.85,13.525,14.3,15.175,15.6,16,15.25,24.75,31.75
L017,18.25,39.125,3.9525,113.5,80.76666667,5.5,8.425,9.875,11.175,12.4,13.275,13.875,14.6,15.525,16.075,NA,18.375,29.75,39.125
L018,15,30.5,4.4775,93,62.225,5.57,8,9.35,10.65,11.75,12.475,13.225,14.325,15,NA,NA,15.625,25.625,30.5
L019,16,30.625,3.7275,105,69.95833333,5.8,8.475,9.9,11.075,12.125,12.85,13.475,14.225,14.975,15.6,16,15,24.125,30.625
L020,16.5,26.125,3.56,114,73.925,5.17,8,9.425,10.7,11.775,12.625,13.275,14.05,14.675,15.325,16,12.375,21.5,26
L021,15.75,29.5,3.975,99.5,66.85,4.9,7.8,9.3,10.625,11.725,12.475,13.225,14.175,15.2,15.7,16,14.25,22,29.5
