lineID,FinalLeafAge,MaxNumberOfTillers,DeltaLL,HeadingDate,Biomass,LeafAge_0615,LeafAge_0625,LeafAge_0702,LeafAge_0709,LeafAge_0716,LeafAge_0723,LeafAge_0730,LeafAge_0805,LeafAge_0810,LeafAge_0817,LeafAge_0824,LeafAge_0831,NumberOfTillers_0625,NumberOfTillers_0702,NumberOfTillers_0709,NumberOfTillers_0716,NumberOfTillers_0723
L001,15,27.125,4.28,87.5,56.7,5.5,6.975,8.4,9.8,11.275,12.55,13.45,14.425,14.8,15,NA,NA,2,7.625,13,26.375,27.125
L002,17.25,33.625,3.48,108,68.26666667,5.725,7.2,8.725,10.225,11.7,12.975,14,14.825,15.325,16.225,17.06666667,17.4,2.125,7.875,14.5,32.25,33.125
L003,16.75,28.125,4.0925,116,79.75,5.975,7.275,8.675,10.175,11.5,12.725,13.575,14.3,14.775,15.65,16.325,16.675,2.25,6.75,11.25,25.25,27.75
L004,16,31.375,4.19,84.5,55.8,5.5,6.95,8.425,9.95,11.5,12.75,13.7,15,15.65,16,NA,NA,2,7.625,12.625,27.75,30.875
L005,15.75,32.5,4.3875,83,55.98333333,5.55,7,8.55,10.1,11.625,12.975,14.075,15.175,15.6,NA,NA,NA,2.125,8.125,14.125,30.375,32.375
L006,15.75,24,3.7675,97.5,54.48333333,5.65,7.175,8.525,9.875,11.35,12.575,13.375,14.125,14.8,15.9,16.33333333,17,2,6.25,9.375,21.5,23.875
L007,17,23.75,3.675,105.5,63.35833333,5.775,7.15,8.575,10.025,11.575,12.875,13.725,14.7,15.275,16.075,16.625,16.925,2,6,9.75,20.75,23.75
L008,18.5,35.625,3.205,115,69.525,5.725,7.225,8.875,10.45,12.175,13.625,14.7,15.55,16.175,17.1,17.8,18.15,2.25,7.375,14.875,31.25,34.875
L009,16,23.375,3.8675,95,71.5,5.3,6.775,8.3,9.75,11.275,12.45,13.375,14.4,15.15,15.65,16,NA,2,6.5,11,22,22.875
L010,15.5,25.875,4.19,90.5,61.6,5.525,6.85,8.475,9.85,11.375,12.525,13.5,14.475,15.175,15.5,NA,NA,2.125,7.125,11.875,23.625,25.75
L011,15.5,29,4.9625,82.5,50.31666667,5.95,7.425,8.8,10.225,11.6,12.875,13.95,15.075,15.425,16,NA,NA,2.25,7.125,12.375,27.25,26.625
L012,15.75,30.25,4.5825,91,52.73333333,5.675,7.075,8.625,10,11.5,12.775,13.6,14.475,15.225,15.75,NA,NA,2.25,7,12,25,30.25
L013,15,23.875,4.24,83,41.525,5.6,7.025,8.45,9.925,11.2,12.4,13.325,14.45,14.875,15,NA,NA,2.5,6.875,11.375,22.25,23.875
L014,15,46.125,4.545,83.5,52.35833333,5.575,6.975,8.275,9.75,11.15,12.3,13.3,14.275,14.75,15,NA,NA,2,6.625,10,21.25,45.75
L015,16,29.75,3.9375,85,54.825,5.625,7.1,8.65,10.175,11.7,12.95,13.95,15.25,15.7,16,NA,NA,2.375,7.375,13.625,26.875,29
L016,17,25,4.2275,100,61.95833333,5.725,7.2,8.775,10.25,11.825,13.075,14,14.975,15.6,16.5,16.925,17,2.25,5.75,9.875,23.25,25
L017,18.25,35.25,3.8575,110,65.40833333,5.925,7.475,9.075,10.6,12.2,13.425,14.325,15.1,15.8,16.725,17.5,17.825,2.625,7.5,14.5,32.375,35.125
L018,14.75,26.5,4.6125,83,52.56666667,5.475,6.825,8.2,9.775,11.2,12.4,13.45,14.575,NA,NA,NA,NA,2.125,7,11.875,25.5,25.75
L019,16,33.625,3.77,98.5,60.25833333,5.625,7.075,8.6,9.975,11.35,12.5,13.275,14.1,14.675,15.525,15.875,16,2.75,7.75,13.75,29.25,33.625
L020,17.25,31.75,3.6475,112.5,69.975,5.7,6.975,8.575,10.05,11.55,12.9,13.75,14.55,15.2,15.975,16.425,16.8,2,6.625,12.125,26.625,31.625
L021,16,31.5,4.5575,89,55.3,5.75,7.275,8.675,10.2,11.6,12.9,13.875,14.975,15.625,16,NA,NA,2,7.75,12.875,28,31.5
L022,16.5,27.5,4.03,93.5,63.96666667,5.55,7.075,8.625,10.175,11.775,12.925,13.875,14.9,15.725,16.35,16.66666667,NA,2.5,6.875,12.5,25.625,27.375
L023,15.75,22.5,3.5025,90.5,59.725,5.225,6.7,8.325,9.675,11.3,12.575,13.5,14.45,15.225,15.75,NA,NA,2,7.25,10.5,20.75,22.375
L024,15.25,25.625,4.075,91.5,62.74166667,5.375,6.9,8.325,9.75,11.275,12.425,13.2,14.225,14.775,15.5,NA,NA,2,6.75,10,24.625,25.5
L025,17.5,28.375,4.455,110.5,76.23333333,5.225,6.9,8.5,9.975,11.35,12.875,13.7,14.7,15.15,16.225,16.95,17.2,2,7.125,11.25,25.5,28.375
L026,16.25,21.25,4.3125,100.5,67.64166667,5.275,7,8.325,9.85,11.125,12.4,13.375,14.1,14.8,15.675,15.95,16.25,2,5.75,8.5,18.5,20.875
L027,15.75,26.25,3.9875,92.5,48.175,5.65,7.025,8.4,9.975,11.4,12.625,13.525,14.5,15.2,15.75,NA,NA,2,7,10.375,23.25,26.25
L028,16.75,31.25,3.91,116.5,66.8,5.525,7.075,8.7,10.075,11.625,12.85,13.675,14.425,15.05,15.825,16.325,16.55,2.625,7.25,12.625,26.625,31.25
L029,14.5,26.25,5.2125,82.5,50.31666667,5.425,6.95,8.35,9.625,11.15,14.55,12.975,14.15,15,NA,NA,NA,2,7.125,11.375,25.625,24.75
L030,17,32.5,3.76,107.5,67.15833333,5.975,7.35,8.45,10.4,11.95,13.25,14.175,14.875,15.625,16.35,16.75,17,2.125,7,12,26.875,32.375
L031,16,28.125,4.0525,97.5,62.06666667,5.55,6.975,8.45,9.875,11.3,12.4,13.375,14.175,14.875,15.625,16,NA,2.125,7.5,12.625,23.375,28.125
L032,16,26.75,3.9625,100,61.24166667,5.65,7,8.4,9.75,11.25,12.3,13.225,13.875,14.55,15.4,15.675,16,2,6.875,11.5,23.25,26.625
L033,16.5,24.625,4.105,92.5,62.51666667,5.7,7.075,8.675,10.125,11.525,12.85,13.825,14.75,15.725,16.425,17,NA,2.125,6.75,10.5,24.25,23.5
L034,15.5,27.125,3.9025,85,58.78333333,5.525,6.925,8.45,9.975,11.325,12.65,13.55,14.4,15.1,15.5,NA,NA,2.5,7.875,11.375,24.875,26.875
L035,17.75,27.625,3.65,112.5,65.775,5.9,7.425,8.875,10.4,12.125,13.45,14.225,15.125,15.7,16.625,17.175,17.475,2,6.25,10.625,25.875,26.5
L036,16.5,27.875,4.155,107.5,72.125,5.725,7.275,8.6,10.075,11.35,12.575,13.475,14.3,14.8,15.6,16.05,16.35,2.375,7.125,12,25,27.75
L037,16,27.75,4.235,96.5,58.08333333,5.725,7.2,8.6,10.025,11.425,12.525,13.3,14.125,14.775,15.625,16,NA,2.375,7.75,13.375,26.75,27.625
L038,14.75,25,4.205,83,52.725,5.325,6.825,8.15,9.575,11.05,12.325,13.45,14.5,14.7,15,NA,NA,2,6.5,11.125,22.875,23.75
L039,15.5,28.875,4.1275,80,51.31666667,5.675,7.075,8.575,10.075,11.5,12.775,13.95,15.075,15.66666667,NA,NA,NA,2.125,7.375,13.75,28.125,28.125
L040,15,27.5,4.3575,83.5,49.74166667,5.55,6.975,8.45,9.9,11.4,14.875,13.525,14.65,14.825,15,NA,NA,2.25,7.5,13.25,25.375,27.25
L041,15.5,35,4.7175,83,54.575,5.75,7.225,8.6,10.125,11.525,12.825,13.7,14.7,15.175,16,NA,NA,2.25,7,13.75,31.375,34.5
L042,18,29.625,4.375,109,65.35,6.1,7.625,9.2,10.7,12.225,13.55,14.35,15.275,15.775,16.75,17.475,17.7,2.25,6.75,11.75,24.5,29.625
L043,16,28.125,4.1775,90,62.09166667,5.825,7.125,8.55,10.05,11.325,12.575,13.475,14.475,15.425,15.95,16,NA,2.25,7.875,14,26.25,28
L044,17.75,30.75,4.2175,118.5,72.4,5.75,7.275,8.95,10.35,11.475,13.3,14.2,15,15.55,16.475,17.025,17.4,2,6.625,11,25.375,30.75
L045,15,23.375,4.4125,85.5,59.89166667,5.625,7.05,8.475,9.975,11.325,12.35,13.425,14.475,14.825,15,NA,NA,2.125,6.375,10.875,22.375,23.375
L046,17.75,31.5,3.3125,120,67.79166667,5.45,6.925,8.625,10.075,11.625,13.25,14.2,14.975,15.575,16.525,17.225,17.5,2,6.625,11.875,27.375,31.25
L047,16,29.5,3.8675,83,49.35,5.65,7.025,8.55,10.025,11.55,12.95,13.9,14.9,15.525,16,NA,NA,2,6.625,10.625,26.75,29.5
L048,15,27.125,4.6075,84.5,56.63333333,5.65,7.025,8.5,9.975,11.325,12.475,13.4,14.575,14.825,NA,NA,NA,2,7.75,12.5,24.625,26.75
L049,18.25,41.125,3.495,121.5,73.99166667,5.875,7.475,9.1,10.575,12.25,13.725,14.7,15.5,16.05,17,17.65,17.95,2.625,7.75,15.125,30.375,41.125
L050,18.5,29.625,3.6975,117.5,68.49166667,5.925,7.475,9.025,10.5,12.15,13.475,14.45,15.275,15.675,16.775,17.5,18.05,2.25,6.25,11.5,26.375,29.625
L051,16.5,25.375,4,113.5,72.04166667,5.425,6.775,8.225,9.7,11.225,12.425,13.275,14.1,14.65,15.325,16.075,16.275,2,7.125,11,23.625,25.25
L052,15.5,26.25,4.515,94.5,57.425,5.45,6.85,8.25,9.65,10.9,12.1,12.875,13.6,14.4,15.3,16,NA,2.25,7,11.25,23.875,25.375
L053,15,29.75,4.4875,82,48.49166667,5.675,7.125,8.55,9.95,11.35,12.6,13.65,14.875,15,NA,NA,NA,2.125,6.875,12.625,23.5,29.75
L054,17.75,28.5,3.5,120,63.94166667,5.625,7.05,8.525,10.075,11.525,12.85,13.7,14.5,15.1,15.875,16.7,17.1,2,7.125,13.875,26.375,27.75
L055,17,25.375,4.0075,103.5,65.00833333,5.35,6.9,8.425,10,11.525,12.825,13.7,14.7,15.45,16.4,16.825,17,2,6.375,10,21.375,25.375
L056,16,25.875,4.01,103.5,69.575,5.225,6.775,8.25,9.75,11.275,12.375,13.125,13.9,14.625,15.425,15.75,16,2,7.25,11.375,25,25.25
L057,15.25,25.125,4.2775,85.5,44.325,5.475,7.025,8.425,9.85,11.35,12.575,13.55,14.625,15.025,16,NA,NA,2.125,7.125,10.875,23.5,24.875
L058,15,24.875,3.9925,80,45.51666667,5.925,7.325,8.4,10.2,11.6,12.95,13.975,14.9,NA,NA,NA,NA,2.125,7,10.25,24.25,24
